sample_ids,phenotype_values
9608,53.43
9801,58.81
9647,53.57
7014,54.4
9802,51.1
7523,61.61
9689,48.9
6177,50.11
7340,59.69
8534,51.5
15592,54.09
9850,51.17
7096,52.2
7207,54.19
5232,52.02
9946,54.56
9857,56.08
8386,49.44
9657,55.09
9344,56.46
7202,52.92
6417,49.54
628,53.95
9153,52.6
6235,54.85
6098,60.81
7268,51.08
2019,59.03
868,60.43
9070,52.49
9114,55.83
10006,54.15
6910,52.39
5350,52.5
266,55.99
7026,52.57
9646,57.58
1720,52.79
87,55.51
6091,52.32
1585,54.12
5994,54.1
2,56.98
9820,51.56
6149,51.4
5805,54.02
9001,56.2
2157,61.11
5466,54.58
6904,55.32
9598,53.59
9677,51.45
2290,51.63
7526,61.99
223,57.55
410,54.26
9131,55.09
323,56.34
2286,61.45
9784,53.99
10001,56.73
7028,57.36
2191,61.2
2011,55.25
5678,52.99
7917,62.92
351,51.47
5968,54.32
1256,55.48
6974,58.31
1782,57.65
5835,57.3
6913,54.32
1942,61.51
5381,50.83
9858,53.43
7392,50.82
607,56.77
8464,62.3
9527,54.76
1064,52.13
6220,51.67
6153,52.56
215,54.12
8266,62.13
2274,59.95
8411,55.56
207,54.77
2187,55.07
6973,50.21
9837,50.7
9910,50.94
9908,55.98
9895,53.69
2180,56.66
9928,56.67
5353,55.23
1851,61.39
9986,53.61
7120,52.16
1954,57.87
309,61.49
6085,55.45
915,48.51
9768,52.45
8957,62.17
7075,53.44
4935,55.61
615,61.26
14318,49.99
6141,54.91
5712,57.88
1435,59.98
5915,52.11
8774,52.73
7354,53.51
1153,57.19
9835,53.06
4884,53.81
7252,54.76
293,56.57
10023,55.83
5784,53.63
9871,52.38
5901,54.3
9653,52.17
6905,54.64
5788,50.9
5943,56.44
5742,52.54
6215,55.19
205,53.55
32,54.63
484,64.28
9776,51.68
5398,50.25
9799,54.04
6107,50.07
827,56.1
1072,58.85
7471,58.5
9085,52.99
5745,53.25
5780,56.26
8719,56.03
9695,51.15
9912,51.16
5740,50.56
9308,51.26
6004,56.99
371,55.44
9950,55.71
7502,52.52
999,52.36
9309,51.96
5758,49.71
7069,55.37
7408,53.4
269,58.05
1257,56.67
7310,55.82
7203,52.46
9367,52.14
6074,51.16
7017,51.68
6209,52.99
9105,53.02
6195,51.96
9952,53.96
6968,54.48
5106,58.5
7372,52.41
8254,53.69
6216,51.79
7110,53.38
1938,63.98
7104,52.5
14315,55.33
7331,53.56
7847,61.14
2239,61.01
166,52.85
1835,61.65
1749,60.71
6137,52.8
9641,54.64
6284,56.11
9369,57.06
1753,56.37
9640,55.32
9384,59.6
7837,56.85
5948,56.16
9134,53.38
6073,55.12
6403,47.71
9106,54.23
9856,56.51
1552,47.79
687,60.65
9532,50.27
2276,57.91
7342,54.48
6739,63.52
5264,50.85
160,49.81
5972,55.2
9937,56.05
9824,56.0
6010,53.54
8426,55.78
7867,64.26
6916,58.29
332,56.44
6929,56.4
9151,53.58
7277,54.4
7483,56.06
9712,54.67
9645,53.86
417,52.6
316,56.04
9881,52.07
1063,59.49
9363,55.29
7292,51.3
9565,53.1
94,54.73
9867,48.51
6194,52.29
327,57.09
2316,53.6
367,55.55
9721,54.7
1965,62.37
8422,62.84
7514,52.61
9078,53.15
9930,52.45
1163,62.08
6997,53.23
8306,57.02
6019,55.62
6148,52.14
1949,54.52
640,58.73
4980,53.71
6975,54.54
5781,60.42
1684,61.52
8296,57.36
9755,51.97
2020,55.14
9758,49.69
6038,52.57
7002,53.38
6099,57.17
7275,54.38
9727,53.45
6171,54.4
6984,54.21
7081,56.18
6969,53.56
9091,55.73
9948,56.05
5873,54.51
7205,51.47
9102,51.93
6005,51.96
2017,62.0
5820,55.18
9,58.28
4939,53.49
7350,52.49
6244,52.36
6412,52.06
9600,52.8
6962,51.07
9104,52.11
10015,53.28
322,53.4
5990,54.49
9808,56.72
194,54.43
8171,52.95
9924,55.09
6276,52.17
6932,50.83
8424,54.01
5175,55.97
6132,51.18
6238,55.4
6318,55.39
9499,50.6
4857,52.92
69,52.74
5883,56.37
8973,57.3
6207,51.74
5891,54.5
403,50.4
5777,58.78
9843,55.61
2171,55.02
170,53.3
9519,56.11
7034,55.4
86,56.31
374,57.55
1745,59.72
6959,55.9
9732,50.69
6118,51.66
9531,57.55
1925,56.81
329,58.03
9670,53.12
9963,58.25
9312,52.98
9804,51.46
4,57.22
6911,53.06
9628,56.15
9380,53.16
8264,54.51
5836,49.04
5770,60.73
870,53.28
5942,53.85
7151,55.05
7322,47.84
5536,57.32
5804,55.68
6847,54.43
9770,53.87
9906,55.87
9680,48.66
6727,52.57
2031,62.05
8312,58.32
217,54.27
9882,56.88
9870,54.45
9631,53.77
5932,57.93
7417,52.76
385,55.01
6966,52.51
173,53.7
9636,52.48
379,53.37
5146,50.38
5872,53.31
9957,56.06
212,54.07
7003,57.4
5749,52.7
9976,59.64
1872,60.21
9876,56.44
5395,49.27
9453,53.04
5988,53.23
51,58.65
5848,53.0
19949,53.21
6125,52.97
9890,50.95
283,53.5
9738,53.76
6095,52.23
9902,53.88
8419,52.9
9836,54.2
236,56.6
9546,56.22
364,55.38
9525,50.76
224,51.53
346,53.28
7135,60.8
9515,53.65
9624,53.83
7150,53.76
7463,52.33
6980,53.54
9774,56.56
4879,50.19
392,56.89
9693,49.52
9868,53.59
5953,50.83
9612,54.95
8996,55.0
1926,56.76
768,53.9
9472,50.93
6217,52.05
369,60.83
6133,51.28
5709,54.42
6154,50.95
5116,53.88
407,55.54
6814,61.76
7291,49.71
8329,56.38
5782,53.46
6445,53.8
7427,53.71
6996,52.82
204,54.18
9951,54.43
7323,53.47
390,53.86
7265,50.22
6942,58.16
9921,55.32
373,59.87
259,56.99
6992,52.08
5727,53.96
9583,55.06
7201,53.53
8354,49.96
6007,55.63
9873,53.57
9006,53.27
7058,52.25
10012,57.37
14313,53.85
7063,52.76
359,51.71
631,56.02
6749,60.85
5983,52.81
991,51.04
5762,56.7
9805,50.76
1943,61.14
79,58.17
8760,64.86
9356,57.96
8242,54.24
9437,52.29
6396,53.08
7260,51.96
9668,58.02
7490,60.15
7246,52.24
8234,52.9
1360,56.42
5236,54.04
5744,53.13
6109,55.26
9599,54.57
429,54.73
6986,52.54
8954,63.86
6214,52.15
1874,63.65
9592,54.17
9845,53.44
5933,51.01
9692,47.23
306,58.08
7068,57.06
8673,56.73
6958,53.61
6436,51.62
719,58.58
7284,49.97
1716,50.31
265,57.53
5846,54.62
5874,51.29
355,57.2
18694,53.53
9418,49.22
9557,53.16
7008,55.71
9905,52.31
9053,60.61
7472,57.62
9521,53.94
8369,53.98
2280,59.23
391,49.6
368,57.6
9817,54.83
9125,52.3
5141,53.1
2106,60.66
9915,48.06
7106,48.79
2151,54.94
9562,52.5
9402,50.92
9152,53.91
6931,56.57
1960,61.66
7757,63.51
6191,55.73
5894,57.21
9476,51.16
9421,52.4
389,52.2
8976,57.06
8420,55.24
5896,52.31
7263,52.61
6020,49.47
74,56.09
7333,55.7
5807,52.49
9635,56.86
9601,52.11
9520,51.26
387,54.31
428,51.52
9983,51.58
9077,57.58
5816,52.62
2160,56.92
9713,54.02
5751,50.8
6094,53.79
6914,52.95
6960,54.64
2412,60.85
6093,53.19
5817,52.52
222,54.14
9887,55.73
9627,55.79
5708,61.56
7138,58.3
9644,51.94
6040,54.62
1858,57.15
5245,54.8
8695,56.31
121,54.92
1416,57.01
7425,52.79
9788,57.17
9782,53.75
9685,54.47
7508,58.1
6071,54.86
9451,52.78
9997,50.37
196,49.54
9980,56.92
9987,54.06
6435,56.81
2300,55.82
9395,48.57
1729,55.88
123,55.78
9667,53.39
9394,51.22
5982,50.14
9084,52.92
1719,54.34
5926,52.73
139,52.66
6111,54.87
6730,57.77
264,55.46
314,58.81
7283,54.42
6151,53.16
7111,54.01
83,57.19
9969,57.49
230,51.94
295,55.0
7356,60.42
5210,54.74
9810,55.66
9452,53.46
8969,62.22
9323,50.19
